epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2940.16,1.50209,0.65713,0.87501,0.99906,1,0.995,0.59178,1.45553,0.62659,0.83049,0.0006338,0.0006338,0.0006338
71,2967.34,1.43768,0.63441,0.86091,0.99932,1,0.995,0.61833,1.42203,0.5962,0.8292,0.000614,0.000614,0.000614
72,2994.85,1.47483,0.63913,0.87319,0.99941,1,0.995,0.61351,1.42085,0.59092,0.83074,0.0005942,0.0005942,0.0005942
73,3022.08,1.46841,0.65254,0.86147,0.99908,1,0.995,0.61942,1.41436,0.60306,0.82397,0.0005744,0.0005744,0.0005744
74,3049.83,1.49628,0.671,0.85982,0.9992,1,0.995,0.61868,1.43292,0.60913,0.82704,0.0005546,0.0005546,0.0005546
75,3076.21,1.45193,0.65823,0.85548,0.99922,1,0.995,0.63065,1.40132,0.57586,0.82634,0.0005348,0.0005348,0.0005348
76,3102.72,1.46449,0.6333,0.87067,0.99879,1,0.995,0.61607,1.41944,0.57921,0.82307,0.000515,0.000515,0.000515
77,3131.83,1.44552,0.63512,0.85993,0.99919,1,0.995,0.60909,1.40047,0.58692,0.82241,0.0004952,0.0004952,0.0004952
78,3160.67,1.42335,0.63432,0.84617,0.99911,1,0.995,0.61568,1.40931,0.59552,0.82491,0.0004754,0.0004754,0.0004754
79,3187.83,1.42851,0.61887,0.85917,0.99926,1,0.995,0.61577,1.41125,0.60206,0.82883,0.0004556,0.0004556,0.0004556
80,3215.41,1.39758,0.62185,0.85317,0.9993,1,0.995,0.59817,1.4099,0.60694,0.82345,0.0004358,0.0004358,0.0004358
81,3243.92,1.38383,0.60791,0.85182,0.99918,1,0.995,0.59508,1.44378,0.5949,0.82573,0.000416,0.000416,0.000416
82,3271.4,1.45224,0.63542,0.8746,0.99906,1,0.995,0.60903,1.44559,0.58925,0.82918,0.0003962,0.0003962,0.0003962
83,3299.32,1.43056,0.62315,0.86251,0.99897,1,0.995,0.61795,1.40586,0.58856,0.8263,0.0003764,0.0003764,0.0003764
84,3327.55,1.42332,0.62544,0.86444,0.9991,1,0.995,0.6316,1.40503,0.56591,0.82692,0.0003566,0.0003566,0.0003566
85,3355.2,1.39878,0.59831,0.86399,0.99893,1,0.995,0.63693,1.40292,0.57732,0.82421,0.0003368,0.0003368,0.0003368
86,3386.9,1.42849,0.61412,0.87006,0.99923,1,0.995,0.60421,1.46044,0.58339,0.82861,0.000317,0.000317,0.000317
87,3420.71,1.38649,0.61424,0.85572,0.9993,1,0.995,0.62913,1.42099,0.57472,0.82478,0.0002972,0.0002972,0.0002972
88,3451.17,1.36252,0.59825,0.84987,0.99917,1,0.995,0.62123,1.44602,0.59745,0.82719,0.0002774,0.0002774,0.0002774
89,3480.48,1.43184,0.61622,0.86038,0.99924,1,0.995,0.62038,1.42552,0.5674,0.82296,0.0002576,0.0002576,0.0002576
90,3508.55,1.41322,0.59897,0.85865,0.99924,1,0.995,0.62888,1.425,0.56724,0.82309,0.0002378,0.0002378,0.0002378
91,3539.45,1.36368,0.61128,0.86413,0.99885,1,0.995,0.61074,1.4377,0.57504,0.82183,0.000218,0.000218,0.000218
92,3571.78,1.29797,0.59387,0.86114,0.99928,1,0.995,0.62354,1.40822,0.56726,0.82062,0.0001982,0.0001982,0.0001982
93,3606.6,1.33993,0.58695,0.86441,0.99929,1,0.995,0.62714,1.42098,0.56644,0.8235,0.0001784,0.0001784,0.0001784
94,3654.89,1.36756,0.59553,0.87016,0.99931,1,0.995,0.62956,1.40134,0.56231,0.82347,0.0001586,0.0001586,0.0001586
95,3691.73,1.31767,0.582,0.85842,0.99938,1,0.995,0.64084,1.40471,0.55252,0.82259,0.0001388,0.0001388,0.0001388
96,3730.6,1.30913,0.55782,0.8618,0.99939,1,0.995,0.62725,1.41975,0.56274,0.8237,0.000119,0.000119,0.000119
97,3769.97,1.30391,0.55701,0.86956,0.99927,1,0.995,0.62777,1.40085,0.55665,0.82233,9.92e-05,9.92e-05,9.92e-05
98,3800.4,1.31194,0.55712,0.8743,0.9994,1,0.995,0.63033,1.41347,0.55535,0.82257,7.94e-05,7.94e-05,7.94e-05
99,3829.45,1.30761,0.57002,0.85766,0.99944,1,0.995,0.63565,1.40829,0.5516,0.82117,5.96e-05,5.96e-05,5.96e-05
100,3875.68,1.26771,0.54921,0.85291,0.99939,1,0.995,0.63815,1.40192,0.55036,0.82026,3.98e-05,3.98e-05,3.98e-05
