index,filename,blob_px,cx_px,cy_px,bw_px,bh_px
702,frame_000702.jpg,10,1024.8,380.4,16.0,12.0
703,frame_000703.jpg,9,1025.3,380.9,16.0,12.0
704,frame_000704.jpg,10,1025.2,383.2,16.0,16.0
705,frame_000705.jpg,7,1025.7,385.1,16.0,12.0
706,frame_000706.jpg,7,1025.7,385.1,16.0,12.0
707,frame_000707.jpg,0,,,,
708,frame_000708.jpg,6,1026.7,389.3,12.0,12.0
709,frame_000709.jpg,0,,,,
710,frame_000710.jpg,0,,,,
711,frame_000711.jpg,0,,,,
712,frame_000712.jpg,0,,,,
713,frame_000713.jpg,0,,,,
714,frame_000714.jpg,0,,,,
715,frame_000715.jpg,0,,,,
716,frame_000716.jpg,0,,,,
717,frame_000717.jpg,0,,,,
718,frame_000718.jpg,0,,,,
719,frame_000719.jpg,0,,,,
720,frame_000720.jpg,0,,,,
721,frame_000721.jpg,0,,,,
722,frame_000722.jpg,0,,,,
723,frame_000723.jpg,0,,,,
724,frame_000724.jpg,0,,,,
725,frame_000725.jpg,0,,,,
726,frame_000726.jpg,7,1028.0,436.0,28.0,4.0
727,frame_000727.jpg,0,,,,
728,frame_000728.jpg,0,,,,
729,frame_000729.jpg,0,,,,
730,frame_000730.jpg,0,,,,
731,frame_000731.jpg,8,1026.0,440.0,32.0,4.0
732,frame_000732.jpg,7,1028.0,440.0,28.0,4.0
733,frame_000733.jpg,0,,,,
734,frame_000734.jpg,7,1026.3,443.4,24.0,8.0
735,frame_000735.jpg,8,1028.0,443.5,28.0,8.0
736,frame_000736.jpg,7,1028.6,438.9,12.0,16.0
737,frame_000737.jpg,8,1028.0,436.0,12.0,16.0
738,frame_000738.jpg,11,1026.2,440.7,20.0,20.0
739,frame_000739.jpg,6,1028.7,435.3,12.0,12.0
740,frame_000740.jpg,0,,,,
741,frame_000741.jpg,6,1028.0,438.0,12.0,8.0
742,frame_000742.jpg,6,1030.0,438.7,16.0,8.0
743,frame_000743.jpg,6,1030.0,438.7,16.0,8.0
744,frame_000744.jpg,6,1029.3,440.0,16.0,12.0
745,frame_000745.jpg,13,1027.7,437.5,20.0,16.0
746,frame_000746.jpg,12,1030.3,439.3,20.0,12.0
747,frame_000747.jpg,17,1025.2,438.1,36.0,16.0
748,frame_000748.jpg,20,1027.8,438.2,44.0,16.0
749,frame_000749.jpg,15,1027.7,439.7,24.0,12.0
750,frame_000750.jpg,15,1025.6,440.3,32.0,16.0
751,frame_000751.jpg,17,1025.2,440.5,36.0,16.0
752,frame_000752.jpg,16,1025.2,441.2,36.0,16.0
753,frame_000753.jpg,17,1028.5,440.9,44.0,16.0
754,frame_000754.jpg,12,1029.0,442.3,20.0,16.0
755,frame_000755.jpg,15,1025.9,443.2,36.0,20.0
