index,filename,width,height,green_px
791,frame_000791.jpg,1920,1080,920
792,frame_000792.jpg,1920,1080,896
793,frame_000793.jpg,1920,1080,923
794,frame_000794.jpg,1920,1080,906
795,frame_000795.jpg,1920,1080,927
796,frame_000796.jpg,1920,1080,912
797,frame_000797.jpg,1920,1080,937
798,frame_000798.jpg,1920,1080,884
799,frame_000799.jpg,1920,1080,937
800,frame_000800.jpg,1920,1080,938
801,frame_000801.jpg,1920,1080,940
802,frame_000802.jpg,1920,1080,917
803,frame_000803.jpg,1920,1080,926
804,frame_000804.jpg,1920,1080,917
805,frame_000805.jpg,1920,1080,937
806,frame_000806.jpg,1920,1080,901
807,frame_000807.jpg,1920,1080,903
808,frame_000808.jpg,1920,1080,919
809,frame_000809.jpg,1920,1080,921
810,frame_000810.jpg,1920,1080,922
811,frame_000811.jpg,1920,1080,906
812,frame_000812.jpg,1920,1080,905
813,frame_000813.jpg,1920,1080,890
814,frame_000814.jpg,1920,1080,907
815,frame_000815.jpg,1920,1080,905
816,frame_000816.jpg,1920,1080,918
817,frame_000817.jpg,1920,1080,896
818,frame_000818.jpg,1920,1080,888
819,frame_000819.jpg,1920,1080,901
820,frame_000820.jpg,1920,1080,940
821,frame_000821.jpg,1920,1080,890
822,frame_000822.jpg,1920,1080,913
823,frame_000823.jpg,1920,1080,936
824,frame_000824.jpg,1920,1080,927
825,frame_000825.jpg,1920,1080,930
826,frame_000826.jpg,1920,1080,951
827,frame_000827.jpg,1920,1080,939
828,frame_000828.jpg,1920,1080,929
829,frame_000829.jpg,1920,1080,915
830,frame_000830.jpg,1920,1080,911
831,frame_000831.jpg,1920,1080,846
832,frame_000832.jpg,1920,1080,892
833,frame_000833.jpg,1920,1080,894
834,frame_000834.jpg,1920,1080,866
835,frame_000835.jpg,1920,1080,854
836,frame_000836.jpg,1920,1080,887
837,frame_000837.jpg,1920,1080,927
838,frame_000838.jpg,1920,1080,890
839,frame_000839.jpg,1920,1080,930
840,frame_000840.jpg,1920,1080,938
841,frame_000841.jpg,1920,1080,935
842,frame_000842.jpg,1920,1080,934
843,frame_000843.jpg,1920,1080,932
844,frame_000844.jpg,1920,1080,918
845,frame_000845.jpg,1920,1080,926
846,frame_000846.jpg,1920,1080,912
847,frame_000847.jpg,1920,1080,938
848,frame_000848.jpg,1920,1080,927
849,frame_000849.jpg,1920,1080,941
850,frame_000850.jpg,1920,1080,910
851,frame_000851.jpg,1920,1080,925
852,frame_000852.jpg,1920,1080,887
853,frame_000853.jpg,1920,1080,911
854,frame_000854.jpg,1920,1080,885
855,frame_000855.jpg,1920,1080,893
856,frame_000856.jpg,1920,1080,897
857,frame_000857.jpg,1920,1080,823
858,frame_000858.jpg,1920,1080,860
859,frame_000859.jpg,1920,1080,851
860,frame_000860.jpg,1920,1080,861
861,frame_000861.jpg,1920,1080,905
862,frame_000862.jpg,1920,1080,852
863,frame_000863.jpg,1920,1080,868
864,frame_000864.jpg,1920,1080,907
865,frame_000865.jpg,1920,1080,870
866,frame_000866.jpg,1920,1080,871
867,frame_000867.jpg,1920,1080,871
868,frame_000868.jpg,1920,1080,906
869,frame_000869.jpg,1920,1080,898
870,frame_000870.jpg,1920,1080,895
871,frame_000871.jpg,1920,1080,904
872,frame_000872.jpg,1920,1080,869
873,frame_000873.jpg,1920,1080,907
874,frame_000874.jpg,1920,1080,862
875,frame_000875.jpg,1920,1080,895
876,frame_000876.jpg,1920,1080,906
877,frame_000877.jpg,1920,1080,832
878,frame_000878.jpg,1920,1080,894
879,frame_000879.jpg,1920,1080,895
880,frame_000880.jpg,1920,1080,904
881,frame_000881.jpg,1920,1080,850
882,frame_000882.jpg,1920,1080,898
883,frame_000883.jpg,1920,1080,933
884,frame_000884.jpg,1920,1080,955
885,frame_000885.jpg,1920,1080,896
886,frame_000886.jpg,1920,1080,942
887,frame_000887.jpg,1920,1080,835
888,frame_000888.jpg,1920,1080,798
889,frame_000889.jpg,1920,1080,859
890,frame_000890.jpg,1920,1080,813
891,frame_000891.jpg,1920,1080,837
892,frame_000892.jpg,1920,1080,891
893,frame_000893.jpg,1920,1080,930
894,frame_000894.jpg,1920,1080,951
895,frame_000895.jpg,1920,1080,962
896,frame_000896.jpg,1920,1080,955
897,frame_000897.jpg,1920,1080,921
898,frame_000898.jpg,1920,1080,818
899,frame_000899.jpg,1920,1080,912
900,frame_000900.jpg,1920,1080,886
901,frame_000901.jpg,1920,1080,879
902,frame_000902.jpg,1920,1080,888
903,frame_000903.jpg,1920,1080,867
904,frame_000904.jpg,1920,1080,898
905,frame_000905.jpg,1920,1080,947
906,frame_000906.jpg,1920,1080,945
907,frame_000907.jpg,1920,1080,892
908,frame_000908.jpg,1920,1080,872
909,frame_000909.jpg,1920,1080,909
910,frame_000910.jpg,1920,1080,941
911,frame_000911.jpg,1920,1080,919
912,frame_000912.jpg,1920,1080,911
913,frame_000913.jpg,1920,1080,927
914,frame_000914.jpg,1920,1080,933
915,frame_000915.jpg,1920,1080,933
916,frame_000916.jpg,1920,1080,927
917,frame_000917.jpg,1920,1080,927
918,frame_000918.jpg,1920,1080,949
919,frame_000919.jpg,1920,1080,909
920,frame_000920.jpg,1920,1080,938
921,frame_000921.jpg,1920,1080,913
922,frame_000922.jpg,1920,1080,894
923,frame_000923.jpg,1920,1080,869
924,frame_000924.jpg,1920,1080,926
925,frame_000925.jpg,1920,1080,0
926,frame_000926.jpg,1920,1080,940
927,frame_000927.jpg,1920,1080,909
928,frame_000928.jpg,1920,1080,947
929,frame_000929.jpg,1920,1080,881
930,frame_000930.jpg,1920,1080,930
